Word,Meaning,Mneomonic,Usage
abraded,rubbed off worn away by friction      ,,
absonous,"inharmonious, incongruous, discordant",,
abstruse,"difficult to comprehend, obscure, esoteric, recondite",,
abut,border on          ,,
acarpous,"worn out, effete, no longer fertile",,
accolade,"praise, approval, encomium       ",,
accretion,the growing of separate things into one ;  increase by natural growth,,
admonish /-nitory,"warn strongly, take to task / containing warning          ",,
adulation,"excessive praise, flattery, sycophancy",,
affable,polite and friendly       ,,
affiance,give to (in marriage) ; assure by promise,,
afterwise,"Wise after the event, wise or knowing when it is too late",,
agglutination,clumping of bacteria/red cells when held together by antibodies; glueing,,
agog,eager/excited         ,,
ail,"trouble, be ill         ",,
alacrity,eager and cheerful readiness        ,,
allegiance,"duty, support, loyalty         ",,
altruism,"quality of unselfish concern for the welfare of others, selflessness",,
amalgamate,to combine several elements into a whole,,
ambidextrous,able to use the left hand or the right equally well ,,
ambiguous,"having two contrary meanings, equivocal",,
ambivalent ,characterized by opposite feelings or emotions,,
ambulatory,"(pertaining to legs) able to walk about, ambulant",,
ambuscade,"act of concealing yourself and lying in wait to attack by surprise, ambush",,
ameliorate,improve make better         ,,
amenable,ageeable; responsive to suggestion; changeable,,
amortize,end (a debt) by setting aside money     ,,
anachronism,something out of place i.t.o. its historical or chronological context,,
annals,"chronological record of events in successive years, chronicles",,
antithetical,direct opposing          ; anti ethics,,
aplomb,self-confidence           ,,
apochryphal,"false, spurious, fallacious",,
apostate,one who abandons long-held religious or political convictions    ,,
apotheosis,"deification, glorification to godliness        ",,
appellation,"identifying  words by which something is classified, designation",,
apprise,"make aware of, give information or notice to ; Gain in value (of currency)",,
approbation,"approval, commendation",,
appropriate,"confiscate, invade",,
apropos,"appropriate to the situation, apt, felicitous",,
apt,"well-suited, quick-witted, pertinent         ",,
arabesque,a complex ornate design        ,,
arboreal,of connected with trees        ,,
ardor,"enthusiasm, fervour, zeal ",,
argot,jargon slang          ,,
arrogate,"demand as being one's property, seize and take control without authority",,
ascetic,"practicing religious self-denial, austere, stark        ",,
ascribe,consider to be the origin of or belonging to   ,,
aseptic,surgically clean        ,,
aspersion,"slander, calumny   ",,
asseverate,"state categorically, make a positive statement or solemn declaration",,
assiduous,"diligent, hard-working, sedulous         ",,
astringent,substance that shrinks         ,,
atonement,"repayment, death of Jesus        ",,
attenuate,"make thin. Weaken, enervate  ",,
attune,bring into harmony       ,,
augury,"omen sign, prediction",,
august,majestic venerable          ,,
austere,"severely moral and strict, simple and plain, ascetic, stark",,
avatar,incarnation ; new personification of a familiar idea,,
aver,"affirm, assert, prove, justify        ",,
aversion,strong dislike          ,,
avid,"eager, greedy, zealous for something     ",,
avow,"admit, declare openly         ",,
awry,"twisted toward one side, off course ; not functioning properly",,
axiom / axiomatic,"a universally accepted principle; self evident truth, taken as given",,
bacchanalian,drunken merrymaking,,
baleful,"harmful, causing evil, ominous, pernicious, baneful, pestilent",,
baneful,"causing harm or ruin, sinister, ominous, pernicious, baleful",,
barrage,artificial obstacle built across a river      ,,
barren,"not good enough, unable to have young ones without value  ",,
belabor,beat hard        ,,
belie,"be in contradiction with, represent falsely, negate, contradict",,
bellicose,"warlike, belligerent, pugnacious, contentious",,
belligerent,(person nation) waging war        ,,
benediction,"act of praying for divine protection, blessing",,
benevolence,wish or activity in doing good      ,,
bequest,"arrangement to give something at death, legacy, inheritance",,
bereft,rob or dispossess of something (material)      ,,
beset,"surrounded to be attacked by all sides, besieged ;  plagued",,
bilge,bulge; sides of the vessel that curve in to form the bottom (ship),,
binge,Overeat or eat immodestly; make a pig of oneself,,
blandishment,"flattery, coaxing, enticement",,
blithe,"cheerful, casual, carefree, insouciant, nonchalant",,
boorish,"crude, offensive, rude         ",,
brazen,made of brass         ,,
broach,"bring up, announce, begin to talk about, initiate",,
bucolic,"charachteristic of rural areas/people (like a village/r !!), rustic, pastoral",,
burgeon,"to expand, grow and flourish",,
burnish,to polish rub to a shine      ,,
cabal,a scheme or plot a group of plotters    ,,
cacophony / -nous,a loud harsh or strident noise,,
cadence,"recurrent rhythmical series, rhythm, a 'beat'",,
cadge,to beg to get by begging      ,,
cajole,use flattery or deceit to persuade    ,,
calcify,"to change into a hard, stony condition, petrify",,
calipers,metal supports attached to the legs measuring instrument    ,,
callow,"immature, inexperienced, unsophisticated, fledgling, naïve",,
calumny,"slander, aspersion          ",,
cannon,code of laws or set of principles (usually religious in nature),,
cant,insincere talk/jargon        ,,
capitulate,"to surrender, give up",,
capricious,"unpredictable, erratic, changing one's mind impulsively, whimsical",,
captious,faultfinding,,
caret,mark used by an author to indicate where something is to be inserted,,
carousal,"drunken revel, a merry drinking party",,
castigate / -ion,to chastise correct by punishing / severe punishment          ,,
cathartic,"strongly laxative, stimulates evacuation of the bowels (shitting), purgative",,
caucus,a closed political meeting,,
caustic,"biting, sarcastic (in speech), satire   ",,
centurion,leader of a unit of 100 soldiers     ,,
chary,"cautious, wary          ",,
chastened,corrected punished          ,,
chastisement,punishment           ,,
chicanery,"legal trickery, deception,  shenanigan, guile, foxiness / false argument",,
choleric,"quickly aroused to anger, irascible",,
chronicles,"chronological record of events in successive years, annals",,
churl,bad-tempered person          ,,
clamor,"shout, complain with a lot of noise     ",,
cloture,closing device (in Parliament) to end a debate by voting  ,,
cloy,"To fill to satiety, to stuff full, to clog ; to overload, to burden",,
coagulation,change to a thick and solid state   ,,
coalescing,coming together and uniting into one substance     ,,
coda,"passage that concludes a piece of music, finale (analogous to epilogue)",,
coddle,treat with care and tenderness       ,,
codicil,"an addition to a will, appendix, supplement",,
coeval,"of the same period, contemporary, coetaneous",,
cogent,strong convincing          ,,
cogitate,"think deeply, mediate         ",,
cognizant,being fully aware of        ,,
colander,bowl-shaped vessel with many holes used to drain off water  ,,
collusion,secret agreement for a deceitful purpose      ,,
commingle,mix together different elements,,
commodious,having plenty of space for what is needed  ,,
compendium,"a concise but comprehensive summary of a larger work, collection",,
complacent / ncy,"self-satisfied, contented to a fault / feeling of self-satisfaction, smug",,
complaisance,"tending to comply, willingness to please, obliging, deference",,
compunction,"feeling of regret for one's action, contrite ",,
concord,agreement or harmony         ,,
confluence,"flowing together, place where two things come together",,
congeal,"make or become gelatinous, stiff and solid      ",,
congenial,"suitable to your needs or similar to your nature, agreeble, friendly",,
congenital,"present from birth but not necessarily hereditary, inherent",,
conjoin,to join together         ,,
consternation,surprise and fear dismay        ,,
consummate,"perfect, make perfect, complete ; of marriages",,
contemn,to scorn or despise        ,,
contentious,"argumentative, combative, quarrelsome, pugnacious, bellicose",,
contrite,"filled with deep sorrow for wrongdoing, compunction ",,
contumacious,"insubordinate, rebellious          ",,
conundrum,"a riddle, dilemma, enigma        ",,
convivial,"friendly, occupied with or fond of the pleasures of good company",,
convoluted,"complicated, coiled, twisted, labyrinthine   ",,
cornucopia,abundant supply        ,,
corporeal,"pertaining to the body, somatic; corpus- body",,
corroborate / -tion,"Support with evidence, confirm / additional strengthening, evidence         ",,
coruscate,glitter; scintillate; be lively or brilliant or exhibit virtuosity,,
countervail,counterbalance           ,,
covetous,eagerly desirous          ,,
cower,crouch shrink back (ketakutan),,
coy,"shy, modest (esp of a girl)     ",,
crass,so unrefined as to be lacking in discrimination and sensibility (stupidity),,
cravat,piece of linen worn as a necktie   ,,
craven,"cowardly person, pusillanimous",,
culpable,deserving blame (of a crime),,
curmudgeon,bad-tempered person          ,,
cursory,"quick, hurried, perfunctory",,
dawdler,"person who is slow, waste of time     ",,
dearth,"shortage, sacarcity, paucity",,
debacle,"A sudden and violent collapse, sudden disaster       ",,
debilitate,make weak (w.r.t. health),,
decimate,"kill in large numbers (one in every ten), annihilate",,
decorum / -rous,"propriety, properness / proper",,
decry,disapprove of          ,,
defer,"postpone, delay ; submit to another's wish or opinion",,
deference / tial,"showing respect, regardful of another's wishes",,
delineate,"to portray, depict, sketch out, define, describe       ",,
deluge,"great flood, heavy rush of water / to flood, inundate",,
demur,"to hesitate, raise objections        ",,
denigrate,"defame, belittle, sully, disparage, detract",,
denouement,an outcome or solution the unraveling of a plot   ,,
deposition,"dethronement, depositing          ",,
deprave,make morally bad corrupt        ,,
deprecate,"protest against, express disapproval of, inveigh, deplore",,
dereliction,deserting and leaving to fall into ruins     ,,
desiccate / nt,dehydrate / substance used to absorb moisture,,
desuetude,cessation of use disuse        ,,
desultory,aimless haphazard digressing at random       ,,
diaphanous,transparent gauzy          ,,
diatribe,"violent verbal attack, tirade, malediction, obloquy, jeremiad, fulmination",,
dichotomy,"Being twofold, a classification into two opposed subclasses, duality",,
didactic,intended to teach or instruct,,
digression,"a message that departs from the main subject, wandering off",,
dilapidate,Bring into a condition of decay by neglect or misuse,,
dilettante,"one with amateur or superficial interest in a subject, dabbler",,
dirge,"hymn of mourning performed as a memorial to a dead person, lament",,
discern / -ing,"see with an effort but clearly, perceive, recognize / shrewd; discriminating",,
disconsolate,sad beyond comforting; incapable of being consoled,,
discountenance,refuse to approve of        ,,
discourse,"speech, lecture          ",,
discreet,careful/prudent         ,,
discrepancy,A difference between conflicting facts or claims or opinions,,
disdain,look on with contempt        ,,
disencumber,free from encumbrance         ,,
disinter,dig up from the earth (inter = bury)  ,,
disparage / -ging,"to belittle, denigrate / derogative",,
disparate,"essentially different, unlike        ",,
disproof,proof to the contrary      ,,
disseminate,distribute (esp. ideas)         ,,
dissent,have a different opinion refuse to assent     ,,
dissimulate,"pretend; conceal by feigning, as of feelings",,
distend,"to swell, expand",,
divest,"take away possessions from someone, deprive of status",,
divestiture,An order to an offending party to rid itself of property,,
divulge,"make known something secret, disclose",,
doggerel,"trivial, poorly constructed verse        ",,
dolt,stupid fellow          ,,
dote,"show much fondness, excessive attention, Be senile due to old age",,
drawl,slow way of speaking by drawing out the vowels,,
droll,jesting         ,,
drone,"male bee, person who isn't self-employed      ",,
dulcet,"melodious, harmonious          ",,
duress,threats to compel somebody        ,,
ebullient / ce,"overflowing with enthusiasm / exuberance, outburst of feeling        ",,
eclectic,"composed of elements drawn from various sources, compiled",,
ecumenical,"representing the whole Christian world, of worldwide scope",,
edacious,"devouring, voracious, ravenous, rapacious",,
effete,marked by excessive self-indulgence and moral decay,,
efficacy / cious,"production of a desired result, productive, efficient, effective",,
effluvia,outflow in a stream of particles a noxious odor or vapor ,,
effrontery,"boldness, impudence, arrogance         ",,
egress,"reappearance of a celestial body after an eclipse, the act of coming out",,
elegy,"a lament, a melancholy composition, dirge",,
emaciate,make thin and weak        ,,
emancipate,"free from slavery or servitude,give equal rights to minorities, manumit",,
embellish,make beautiful          ,,
emolient,"soothing (esp to the skin), mollify",,
emote,"stir up, excite         ",,
emulate,"to simulate, imitate ; strive to equality",,
encapsulate,enclose in capsule         ,,
encomium,"warm or glowing praise, eulogy, panegyric, accolade",,
encumbrance,burden things that get on the way of    ,,
endearing,making dear or liked        ,,
endemic,epidemic ; prevailing to people living in a particular location,,
enervate,"weaken, deprive of strength, attenuate       ",,
engender,"cause, produce, give rise to       ",,
ennui,dissatisfaction and restlesness as a result of boredom,,
ensign,"flag/badge, commisioned rank below lieutenent junior",,
entangle,put into difficulties         ,,
enthral,"please greatly, astound, enslave (fig)       ",,
entreat,"ask earnestly, beseech",,
enunciate,pronounce (words) ; express a theory      ,,
ephemeral,"brief, fleeting, evanescent",,
epicurean,"one who is devoted to pleasure (sensuous enjoyment), hedonist",,
epigram,a witty statement,,
epilogue,"short passage/speech after the end of a book/play, antonym of prologue",,
epistle,letter           ,,
epithet,adjective           ,,
epitome,"summary, abstract, synopsis, prologue / standard example, paradigm",,
equable,"steady, regular          ",,
equanimity,calmness of temperament         ,,
equipoise,"equal distribution of weight, equilibrium       ",,
equivocal / ate,"having a double meaning, suspicious / try to deceive, prevaricate",,
erudite,"learned, scholarly          ",,
escapade,"prank, any carefree episode, wild and exciting undertaking",,
eschew,avoid         ,,
espouse,marry give one's support to       ,,
evanescent,"tending to disappear like vapour, vanishing, ephemeral, fleeting",,
evince,"to show clearly, to indicate       ",,
exacerbate,to make worse,,
exacting,"demanding, rigorous, fastidious",,
excoriate,severely criticize   ,,
exhort,"to strongly urge, force",,
exigent / -ncy,"urgent / emergency, an urgent situation        ",,
expatiate,to roam wander freely        ,,
expiation,"ending, expiring          ",,
expostulate,"argue earnestly, to dissuade, correct or protest     ",,
expurgate,"to remove obscenity, purify, censor, bowdlerize",,
exscind,"to cut out, cut away       ",,
extant,still in existence         ,,
extempore / risation,"without previous thought or preparation / improvisation, impromptu",,
extenuate,"reduce the strength of, lessen seriousness, partially excuse    ",,
extirpate,"to destroy, exterminate, cut out, exscind      ",,
extralegal,outside the law         ,,
extricable,that can be freed        ,,
extrovert,cheerful person          ,,
exuberance,state of growing vigorously being full of life    ,,
fallacious,"based on error, apocryphal",,
farcical,"absurd, ludicrous",,
fatuous,"without sense, foolish, self-satisfaction        ",,
fawn,"young deer, try to win somebody's favour,  pander, toady, grovel",,
fealty,"loyalty that citizens owe to their country, allegiance",,
feckless,"lacking purpose or vitality, ineffective, careless      ",,
feign,"make believe, a pretence of, simulate, sham, dissemble",,
feint,pretend           ,,
felicitous,"apt, suitably expressed well chosen, apropos      ",,
felon,person guilty of murder        ,,
ferment,become agitated ; organic molecule splitting into simpler substances       ,,
ferocity,"savage, cruelty          ",,
ferret,discover by searching search        ,,
fervid / vent,"showing earnest feeling, zealous, vehement     ",,
fervor,"warmth of feelings, earnestness        ",,
fetid,"stinking, malodorous, putrid, foetid",,
fetter,"to shackle, put in chains, to restrain",,
fidelity,loyalty; accuracy of sound reproduction,,
figurehead,carved image on the prow of a ship    ,,
filibuster,intentional obstruction (esp to delay legislatve action),,
flag,"droop, sink, or settle from or as if from pressure or loss of tautness",,
flak,"criticism, aspersion, calumny, excoriation ; anti-aircraft guns        ",,
fledge / -ed,"grow feathers, of birds, ant. of molt / able to fly, trained, experienced       ",,
fledgling,"young and inexperienced, young bird that has become capable of flying",,
fleeting,"lasting for a markedly brief time, moving past swiftly, antonym of perennial",,
flinch,"draw, move back, wince        ",,
flout,"reject, mock, to go against (tradition), sneer",,
foible,defect of character (a person is wrongly proud)    ,,
foment,"put something warm (to lessen pain) ; to stir up public opinion, instigate",,
foppish,like a man who pays too much attention to his clothes ,,
forage,food for horses and cattle     ,,
forbear / ance,"refrain from, be patient, ancestor / patience, willingness to wait        ",,
ford,shallow place in a river (to cross)     ; fjord of scandinavia,,
forestall,"prevent by taking action in advance, preempt     ",,
forswear,"renounce, disallow, repudiate         ",,
fortuitous,"happening by fortunate accident or chance, serendipitous",,
fractious,"stubbornly resistant to authority, refractory ; Easily irritated or annoyed",,
fritter,"spend frivolously and unwisely, profligate, spendthrift",,
froward,"not willing to yield or comply, stubborn, intransigence, intractable",,
fulgent,"shining intensely, dazzling",,
fulmination,"bitter protest, tirade, malediction, obloquy, jeremiad, diatribe",,
fulsome,"disgusting, offensive due to excessiveness       ",,
furtive,"marked by stealth, covert, clandestine, surreptitious",,
gaffe,"socially awkward or tactless act, rustic, gaucherie",,
gainsay,"to deny, to oppose",,
gamut,"complete extent or range, plethora",,
garble,make unfair selection from facts     ,,
garish,"gaudy, tastelessly showy, tawdry, raffish",,
garner,to gather and save to store up     ,,
garrulous / lity,"too talkative, loquacious, effusive / talkativeness",,
gaucherie,"socially awkward, tactless behavior        ",,
germane,"relevant, pertinent to, apt   ",,
gesticulate,to wave one's arms,,
gird,encircle or bind ; put a girdle on or around ; bind with something round,,
gloat,over look at with selfish delight      ,,
glut,supply to much fill to excess      ,,
gnaw,"waste away, bite steadily        ",,
goad,to urge on,,
gossamer,"soft light delicate material, antonym of ponderous",,
gouge,tool for cutting grooves in wood      ,,
grandiloquent,"Lofty in style, magniloquent, pompous, pontifical, portentous, overblown",,
gratuitous,"voluntary, free",,
gregarious,"living in societies, liking the company, social",,
gristle,tough elastic tissue; mostly converted to bone in adults,,
grouse,"to complain, grumble",,
grovel,"crawl humble oneself , fawn, pander, to be toady",,
hack,cut roughly / hired horse        ,,
halcyon,calm and peaceful       ,,
hallow,to make holy consecrate        ,,
hapless,unlucky,,
harangue,"a long passionate, forceful speech        ",,
harbinger,"something or somebody that foretells the coming of, warning signs",,
harrow,"to distress, create stress or torment      ",,
hedonism / t / tic,devotion to pleasure of the senses / pleasure seeker / epicurean,,
hermetic,sealed by fusion         ,,
hew,make by hard work cut (by striking)     ,,
highbrow,(person) with superior tastes      ,,
hirsute,"hairy, shaggy          ",,
histrionic,"overly dull, characteristic of acting or a stage performance, melodramatic",,
hoi polloi,"the masses, the rabble       ",,
holster,"leather case for a pistol, sheath",,
homiletics,act of preaching       ,,
hone,stone used for sharpening tools       ,,
hoodwink,"trick, mislead, Influence by slyness         ",,
husk,worthless outside part of anything       ,,
hyperbole,an exaggerated statement used as figure of speech,,
iconoclast,person who attacks popular beliefs ,,
idiosyncrasy,personal mannerism          ,,
idiosyncrasy / -atic,behavioral attribute that is distinctive to an individual / private,,
idyll,a serene episode of pastoral or romantic charm ; bucolic ,,
ignoble,dishonorable common undignified         ,,
ignominious,shameful dishonorable undignified disgraceful        ,,
imbroglio,complicated and embarrassing situation        ,,
immutable,that cannot be changed        ,,
impecunious,having little or no money       ,,
impede,"hinder, get in the way of      ",,
impediment,something that hinders (e.g. stammer)       ,,
imperious,"commanding, haughty, arrogant         ",,
impiety,lack of reverence or dutifulness       ,,
implicate,show that somebody has a share      ,,
importune,"beg urgently or insistently, plead",,
imprecate,"to invoke or conjure a curse (as an insult), malediction",,
impromptu,"without preparation, extempore    ",,
impudent,"rash, indiscreet          ",,
impunity,immunity from punishment or penalty,,
impute,to attribute to a cause or source ascribe    ,,
inadvertent,"accidental, unintentional",,
inane,"silly, senseless          ",,
inasmuch,since because          ,,
